topo_type,part,batch,batch_size,has_match,num_spurious,num_incorrect
edges,0,0,5.0,False,,
edges,0,1,5.0,False,,
edges,0,2,3.0,False,,
edges,0,3,13.0,True,,
edges,0,4,1.0,True,,
edges,0,5,1.0,True,,
edges,0,6,1.0,True,,
edges,0,7,1.0,True,,
edges,0,8,1.0,True,,
edges,0,9,1.0,True,,
edges,0,10,1.0,True,,
edges,0,11,1.0,True,,
edges,0,12,1.0,True,,
edges,0,13,1.0,True,,
edges,0,14,1.0,True,,
edges,0,15,1.0,True,,
edges,0,16,1.0,True,,
edges,1,0,5.0,False,,
edges,1,1,5.0,False,,
edges,1,2,5.0,False,,
edges,1,3,5.0,False,,
edges,1,4,5.0,False,,
edges,1,5,5.0,False,,
edges,1,6,5.0,False,,
edges,1,7,5.0,False,,
edges,1,8,5.0,False,,
edges,1,9,5.0,False,,
edges,1,10,5.0,False,,
edges,1,11,5.0,False,,
edges,1,12,5.0,False,,
edges,1,13,5.0,False,,
edges,1,14,5.0,False,,
edges,1,15,5.0,False,,
edges,1,16,5.0,False,,
edges,1,17,5.0,False,,
edges,1,18,5.0,False,,
edges,1,19,5.0,False,,
edges,1,20,41.0,True,,
edges,1,21,1.0,True,,
edges,1,22,1.0,True,,
edges,1,23,1.0,True,,
edges,1,24,1.0,True,,
edges,1,25,1.0,True,,
edges,1,26,1.0,True,,
edges,1,27,1.0,True,,
edges,1,28,1.0,True,,
edges,1,29,1.0,True,,
edges,1,30,1.0,True,,
edges,1,31,1.0,True,,
edges,1,32,1.0,True,,
edges,1,33,1.0,True,,
edges,1,34,1.0,True,,
edges,1,35,1.0,True,,
edges,1,36,1.0,True,,
edges,1,37,1.0,True,,
edges,1,38,1.0,True,,
edges,1,39,1.0,True,,
edges,1,40,1.0,True,,
edges,1,41,1.0,True,,
edges,1,42,1.0,True,,
edges,1,43,1.0,True,,
edges,1,44,1.0,True,,
edges,1,45,1.0,True,,
edges,1,46,1.0,True,,
edges,1,47,1.0,True,,
edges,1,48,1.0,True,,
edges,1,49,1.0,True,,
edges,1,50,1.0,True,,
edges,1,51,1.0,True,,
edges,1,52,1.0,True,,
edges,1,53,1.0,True,,
edges,1,54,1.0,True,,
edges,1,55,1.0,True,,
edges,1,56,1.0,True,,
edges,1,57,1.0,True,,
edges,1,58,1.0,True,,
edges,1,59,1.0,True,,
edges,1,60,1.0,True,,
edges,1,61,1.0,True,,
edges,2,0,5.0,False,,
edges,2,1,3.0,False,,
edges,2,2,4.0,True,,
edges,2,3,1.0,True,,
edges,2,4,1.0,True,,
edges,2,5,1.0,True,,
edges,2,6,1.0,True,,
edges,3,0,5.0,False,,
edges,3,1,5.0,False,,
edges,3,2,2.0,False,,
edges,3,3,6.0,True,,
edges,3,4,1.0,True,,
edges,3,5,1.0,True,,
edges,3,6,1.0,True,,
edges,3,7,1.0,True,,
edges,3,8,1.0,True,,
edges,3,9,1.0,True,,
edges,4,0,5.0,False,,
edges,4,1,5.0,False,,
edges,4,2,5.0,False,,
edges,4,3,5.0,False,,
edges,4,4,5.0,False,,
edges,4,5,5.0,False,,
edges,4,6,5.0,False,,
edges,4,7,5.0,False,,
edges,4,8,5.0,False,,
edges,4,9,5.0,False,,
edges,4,10,4.0,False,,
edges,4,11,41.0,True,,
edges,4,12,1.0,True,,
edges,4,13,1.0,True,,
edges,4,14,1.0,True,,
edges,4,15,1.0,True,,
edges,4,16,1.0,True,,
edges,4,17,1.0,True,,
edges,4,18,1.0,True,,
edges,4,19,1.0,True,,
edges,4,20,1.0,True,,
edges,4,21,1.0,True,,
edges,4,22,1.0,True,,
edges,4,23,1.0,True,,
edges,4,24,1.0,True,,
edges,4,25,1.0,True,,
edges,4,26,1.0,True,,
edges,4,27,1.0,True,,
edges,4,28,1.0,True,,
edges,4,29,1.0,True,,
edges,4,30,1.0,True,,
edges,4,31,1.0,True,,
edges,4,32,1.0,True,,
edges,4,33,1.0,True,,
edges,4,34,1.0,True,,
edges,4,35,1.0,True,,
edges,4,36,1.0,True,,
edges,4,37,1.0,True,,
edges,4,38,1.0,True,,
edges,4,39,1.0,True,,
edges,4,40,1.0,True,,
edges,4,41,1.0,True,,
edges,4,42,1.0,True,,
edges,4,43,1.0,True,,
edges,4,44,1.0,True,,
edges,4,45,1.0,True,,
edges,4,46,1.0,True,,
edges,4,47,1.0,True,,
edges,4,48,1.0,True,,
edges,4,49,1.0,True,,
edges,4,50,1.0,True,,
edges,4,51,1.0,True,,
edges,4,52,1.0,True,,
edges,5,0,5.0,False,,
edges,5,1,5.0,False,,
edges,5,2,5.0,False,,
edges,5,3,5.0,False,,
edges,5,4,5.0,False,,
edges,5,5,5.0,False,,
edges,5,6,5.0,False,,
edges,5,7,5.0,False,,
edges,5,8,5.0,False,,
edges,5,9,5.0,False,,
edges,5,10,5.0,False,,
edges,5,11,5.0,False,,
edges,5,12,5.0,False,,
edges,5,13,5.0,False,,
edges,5,14,5.0,False,,
edges,5,15,4.0,False,,
edges,5,16,18.0,True,,
edges,5,17,1.0,True,,
edges,5,18,1.0,True,,
edges,5,19,1.0,True,,
edges,5,20,1.0,True,,
edges,5,21,1.0,True,,
edges,5,22,1.0,True,,
edges,5,23,1.0,True,,
edges,5,24,1.0,True,,
edges,5,25,1.0,True,,
edges,5,26,1.0,True,,
edges,5,27,1.0,True,,
edges,5,28,1.0,True,,
edges,5,29,1.0,True,,
edges,5,30,1.0,True,,
edges,5,31,1.0,True,,
edges,5,32,1.0,True,,
edges,5,33,1.0,True,,
edges,5,34,1.0,True,,
edges,6,0,5.0,False,,
edges,6,1,5.0,False,,
edges,6,2,5.0,False,,
edges,6,3,5.0,False,,
edges,6,4,5.0,False,,
edges,6,5,5.0,False,,
edges,6,6,5.0,False,,
edges,6,7,5.0,False,,
edges,6,8,5.0,False,,
edges,6,9,5.0,False,,
edges,6,10,5.0,False,,
edges,6,11,5.0,False,,
edges,6,12,5.0,False,,
edges,6,13,5.0,False,,
edges,6,14,5.0,False,,
edges,6,15,5.0,False,,
edges,6,16,5.0,False,,
edges,6,17,42.0,True,,
edges,6,18,1.0,True,,
edges,6,19,1.0,True,,
edges,6,20,1.0,True,,
edges,6,21,1.0,True,,
edges,6,22,1.0,True,,
edges,6,23,1.0,True,,
edges,6,24,1.0,True,,
edges,6,25,1.0,True,,
edges,6,26,1.0,True,,
edges,6,27,1.0,True,,
edges,6,28,1.0,True,,
edges,6,29,1.0,True,,
edges,6,30,1.0,True,,
edges,6,31,1.0,True,,
edges,6,32,1.0,True,,
edges,6,33,1.0,True,,
edges,6,34,1.0,True,,
edges,6,35,1.0,True,,
edges,6,36,1.0,True,,
edges,6,37,1.0,True,,
edges,6,38,1.0,True,,
edges,6,39,1.0,True,,
edges,6,40,1.0,True,,
edges,6,41,1.0,True,,
edges,6,42,1.0,True,,
edges,6,43,1.0,True,,
edges,6,44,1.0,True,,
edges,6,45,1.0,True,,
edges,6,46,1.0,True,,
edges,6,47,1.0,True,,
edges,6,48,1.0,True,,
edges,6,49,1.0,True,,
edges,6,50,1.0,True,,
edges,6,51,1.0,True,,
edges,6,52,1.0,True,,
edges,6,53,1.0,True,,
edges,6,54,1.0,True,,
edges,6,55,1.0,True,,
edges,6,56,1.0,True,,
edges,6,57,1.0,True,,
edges,6,58,1.0,True,,
edges,6,59,1.0,True,,
edges,7,0,5.0,False,,
edges,7,1,5.0,False,,
edges,7,2,5.0,False,,
edges,7,3,5.0,False,,
edges,7,4,5.0,False,,
edges,7,5,5.0,False,,
edges,7,6,5.0,False,,
edges,7,7,5.0,False,,
edges,7,8,5.0,False,,
edges,7,9,5.0,False,,
edges,7,10,5.0,False,,
edges,7,11,5.0,False,,
edges,7,12,5.0,False,,
edges,7,13,1.0,False,,
edges,7,14,7.0,True,,
edges,7,15,1.0,True,,
edges,7,16,1.0,True,,
edges,7,17,1.0,True,,
edges,7,18,1.0,True,,
edges,7,19,1.0,True,,
edges,7,20,1.0,True,,
edges,7,21,1.0,True,,
edges,8,0,5.0,False,,
edges,8,1,5.0,False,,
edges,8,2,2.0,False,,
edges,8,3,8.0,True,,
edges,8,4,1.0,True,,
edges,8,5,1.0,True,,
edges,8,6,1.0,True,,
